Cores        #-Jobs       #-Users      Cr-hrs      
1                   45038          422       8353.4
2                     364           35        249.0
3-4                 20136           93       5437.0
5-8                 16565           77     244306.5
9-16                 4890           96      29579.0
17-32               30932          271    2023693.5
33-48                7393           65     177827.3
49-64                4252          118     203793.3
65-96                 810           30      40107.7
97-128              72340          395    8311539.0
