Date                 <30s      30s-30m       30-60m         1-5h        5-12h       12-18h         >18h
2025-11-01          831.2     176651.0     118408.2     786327.5    5733697.1      72310.9      11133.8
2025-11-02          757.0     120060.4    1171909.1    1034340.4    5067641.8     450845.3          0.0
2025-11-03          337.0     144537.6     327563.4    1556351.1    4918467.1     221565.7          0.0
2025-11-04          280.2     223524.6       3284.2     141062.4     728406.0       6154.7          0.0
2025-11-05          226.5     667399.8     155677.8    1285860.1     257166.8          0.0          0.0
2025-11-06          168.5      25255.5      25440.3     374420.1    6346047.4     164657.8          0.0
2025-11-07          460.6     151260.2      94831.3     749748.0    6662625.6     175513.5          0.0
2025-11-08          264.2     120313.5     138218.7    2033343.7    4270022.5     309319.1          0.0
2025-11-09          160.1      35801.2      51692.2     958534.2    6325667.6     267756.0          0.0
2025-11-10          293.6      52496.4     165688.7    1551031.3    6175344.0     233875.4      18453.8
2025-11-11          665.1      66360.7     237475.1    1828932.6    5089480.9     153929.6          0.0
2025-11-12          468.5     117835.7      88442.3    1186959.1    4551278.1     211283.6       5441.5
2025-11-13          272.3     125125.0     182110.8    1880029.1    3729118.7      78714.0       2531.6
2025-11-14          330.0      81927.8     106233.6     792893.8    5332656.3     209440.0    3545024.1
2025-11-15          414.8      47795.9     189235.2    2000634.1    4917006.4     372739.0      11133.2
2025-11-16          169.3      71523.8      93982.2     715874.9    4455419.6     761926.0      24583.6
2025-11-17          408.0      74251.7     150720.1    1238922.6    5323047.2     172332.0    2356804.3
2025-11-18          339.7     113117.6     226305.5    1536596.5    4931601.4     211377.1          0.0
2025-11-19          274.4     109169.5     220623.7    2308099.7    3977263.7     419651.9          0.0
2025-11-20         1130.4     146862.3     211893.9    1031341.4    4746418.6     357062.9    1543319.0
2025-11-21          171.0     147881.0     144241.1    1025069.9    4926402.9     381675.7      60981.3
2025-11-22         1771.5     161338.8     181171.4    1781786.0    3235747.2     414807.4       2368.0
2025-11-23          772.1      66122.9      73305.9    1163763.8    4406113.1     515436.4    3559054.1
2025-11-24           74.7     236646.2     316717.4    2114508.5    4574886.2     270778.1      18453.8
2025-11-25          127.6     203185.3     366147.6     867794.3    4230037.8     630981.6      36872.4
2025-11-26          549.2     124075.5     218418.7     748079.3    4561215.9     426199.9         12.2
2025-11-27          330.6     132262.9     140173.3     860529.0    4809606.1     514642.6    3547938.1
2025-11-28          156.7     110711.7     155749.4     991717.3    6267230.7     123089.8          0.0
2025-11-29          229.4     146509.2     142802.1    1008522.6    6078251.5     355454.6          0.0
2025-11-30          210.6     256859.1     149862.2    1209824.5    5382518.1     361518.7      36873.0
