Nodes        #-Jobs       #-Users      Cr-hrs      
1                  195995          784   21533539.1
2                   10149          238    4521487.7
3-4                 20782          223   14856867.9
5-8                  9304          220   16292507.9
9-16                10483          179   34785946.0
17-32                3654           82   50259424.5
33-64                 735           37   10155548.9
65-128                371           14   10504898.8
129-256               196           10   29221266.2
257-512                38            7   20262424.7
513-1024                4            1       8594.5
1025-2048               5            1     114626.9
