Nodes        AveWait-hrs  #-Jobs      
1                  6.5467       195995
2                  4.6098        10149
3-4               15.8339        20782
5-8                7.6594         9304
9-16              11.1023        10483
17-32              9.2437         3654
33-64              6.8071          735
65-128             6.1093          371
129-256           14.0243          196
257-512           10.5590           38
513-1024           0.0208            4
1025-2048          0.0756            5
