Date                 <30s      30s-30m       30-60m         1-5h        5-12h       12-18h         >18h
2025-11-01           15.7        367.7         91.1        333.1       1195.1        192.8          0.0
2025-11-02            2.0        201.6         25.7        170.5        946.1         96.2          0.0
2025-11-03            0.1        119.5         22.0        642.6        644.6        625.7          0.0
2025-11-04            0.0          2.0          2.8         22.4        136.6        192.8          0.0
2025-11-05            0.7        291.7         13.2        610.5         84.9          0.0          0.0
2025-11-06            1.6        238.8         68.0        671.6       1092.9        529.9          0.0
2025-11-07            2.8        140.9         59.2        593.2        633.3        722.1          0.0
2025-11-08            0.9         43.2          9.5         90.1       2109.3       1154.8          0.0
2025-11-09            0.1         26.1         30.6        116.6       1939.2       2068.6          0.0
2025-11-10            0.6        158.4         51.7       1018.7       2071.2       1875.3          0.0
2025-11-11            0.1        135.5         71.5       1447.1       3067.1       2117.1          0.0
2025-11-12            0.8        107.8        107.2        536.1       3106.3       3271.4          0.0
2025-11-13            3.2        609.2        174.8       1511.8       3771.9       2115.9          0.0
2025-11-14            1.4         68.1         74.8       2123.2       2007.8       1010.7          0.0
2025-11-15            0.5         47.0         20.5       3094.5       3354.2        865.5          0.0
2025-11-16            0.0         24.0         38.1        697.9       1929.9        913.9          0.0
2025-11-17            0.4        194.9        170.1        583.5       2596.9        528.9          0.0
2025-11-18            0.6        109.0        125.0        977.6       3531.8        384.8          0.0
2025-11-19            0.2        145.4        122.3        593.2       2373.3        674.0          0.0
2025-11-20            0.2         77.2          2.4        456.6       2839.8        769.5          0.0
2025-11-21            0.1        137.1         74.9        514.1       2143.8        769.9          0.0
2025-11-22            0.0         47.0         59.1        503.6       3539.0       1059.0          0.0
2025-11-23            0.1         87.8         24.9        363.5       3398.4       1251.9          0.0
2025-11-24            0.5         51.9         75.2        601.9       4509.0       1057.6          0.0
2025-11-25            0.2         29.3        153.2        441.3       3736.7       1732.7          0.0
2025-11-26            0.3         44.9        152.6        455.6       3304.1        866.0          0.0
2025-11-27            0.4         35.7         40.9        533.0       2979.8        770.7          0.0
2025-11-28            0.9         30.5         74.4        199.3       3026.9        289.4          0.0
2025-11-29            0.6         41.9          6.6        278.5       1704.2        192.3         96.2
2025-11-30            0.2        172.7         19.0        166.4       1660.3        240.5        186.6
