Accounts      Usage         Counts      
UTAM0017        16203628.7          213
WYOM0200        13914851.7         2648
WYOM0224        10188534.5        21605
UCSU0085        10129254.1          359
CESM0019         9735252.7          507
WYOM0233         7954425.6        16820
CESM0023         7729945.0          483
WYOM0198         7512425.2         3325
NCGD0063         7194046.0          138
WYOM0191         7133992.7          617
UAZN0034         6141504.0          930
WYOM0226         4596498.3          280
P19010000        4125350.2         3444
AACD0004         4061445.8          155
P93300042        3898896.6         2441
UJHB0025         3390350.2            7
P93300007        3302392.6          437
P64000555        3219421.3         8279
WYOM0227         3081043.7          529
P93300041        3046082.8         9344
UALF0008         2594618.2        10812
UCLB0039         2496494.5          229
UMCP0014         2477208.2          475
P93300012        2466980.2          757
P93300070        2331470.2          969
CESM0020         2121323.1         7542
NACD0026         2001773.8           87
UPSU0032         1981007.6         1973
P93300043        1799123.7          580
NHAO0033         1586178.9           43
WYOM0218         1523535.9          157
UJHB0032         1476650.7            3
P93300324        1419417.1          194
P48500028        1373576.4         2590
ULNL0002         1347949.0          139
UCLR0005         1303354.5          390
NTDD0004         1267576.0          151
WYOM0171         1134468.7          243
UCNN0044         1045885.5          158
UMSU0014         1041229.2          123
WYOM0228         1032860.9          133
P93300606        1008344.3        26246
NHAO0034          980039.1           25
SCSG0001          975812.4        11294
NCGD0056          967877.0           94
NHAP0008          946192.5          979
CESM0027          863760.0           89
P28100045         805967.0          875
AACD0003          801869.3          199
NCGD0039          795257.5          307
UJHB0033          789808.4         1460
NSAP0003          767242.5         4623
UMCP0020          747413.1          846
UPSU0053          743166.5          275
UOSU0011          725013.4           24
P28100036         708831.7         1065
UUSL0039          692092.1           40
NMMM0015          664811.8         8718
UCLB0053          661692.4          225
UWIS0067          589461.0          151
UBRN0018          581681.8          103
UGMU0046          535435.0           46
UNSB0039          513176.1          389
P54048000         486087.5          694
WYOM0202          470209.7         1874
P93300301         457595.4          406
UCIR0047          436690.5           37
UCUB0155          395084.4           82
UGMU0050          394537.3           59
CESM0024          383424.1          154
NACD0029          374076.9           66
UCLB0044          357706.4           91
UCSU0116          356031.5          300
UGMU0055          354171.8           36
UCSD0061          339987.5         1754
NHAO0032          339797.3          224
P03010039         338114.5          151
P28102048         331224.6           38
P48500047         311625.2         2664
NMMM0076          306908.4            5
UHAR0022          296504.9           70
NWSA0002          290910.6         1799
USTN0012          289365.9           52
P93300313         264847.5           70
UWAS0113          259833.9          334
UCOR0071          257239.5           67
UWIS0047          249598.2          233
WYOM0230          249205.7           16
UMIC0103          245775.3           46
NRAL0044          244566.5          682
UCNN0032          242725.9          147
UMTU0002          241623.7           96
UOKL0046          236314.2           17
UWHO0028          233827.1          122
UYLE0035          233619.3           43
UCOR0085          229845.1          106
UCSD0067          224537.3           42
UCLA0068          219183.9           48
UCSU0092          217453.5           72
UWAS0123          214819.3          630
URTG0033          210735.4           25
UCOR0083          208999.3         1423
NMMM0063          201321.2        20177
NACD0027          188684.5          102
UWAS0148          187763.8           54
UIWA0007          187661.2           71
URHO0008          183743.9           35
UCNN0041          181073.4           24
UNSB0034          180726.3           22
UCUB0184          175091.6          143
UMIT0062          174927.3          251
UCSD0057          174710.5          383
UUSL0036          174144.2          170
UCOR0092          173250.0          212
UOKL0067          172232.6          456
UWAS0146          163708.7           67
UHAR0025          160501.6           78
UOKL0055          158516.5         1270
UCSU0115          157148.6          128
CESM0030          153340.6           61
UMAL0012          151207.4          267
UCDV0026          151017.0          441
UCNN0026          149842.5          112
UWAS0155          149299.4          397
NHAO0027          147015.7          279
NRAL0045          145853.8          604
NEOL0004          145691.8          155
USTN0011          137529.0           17
UUSL0024          126560.6           31
UNCT0011          126093.0          109
UOKL0053          125796.8           51
NACD0033          124506.5           21
UHWM0065          124453.2          294
UHOU0002          122156.3          198
UHAH0023          121697.5          223
UPRI0032          119828.0           54
UGIT0039          119335.4           35
UNID0009          114692.3           19
UCHI0012          114312.1          113
UVIR0012          110986.5           84
UIUC0030          109851.3           13
UMIC0115          108164.2           31
NMMM0043          107779.1          786
UHWM0066          105416.3           74
UFIT0016          103363.0           43
UCSM0009          102512.3          125
NEOL0007           95604.7         2030
WYOM0195           94617.7           53
UCOR0094           94223.5           11
UTAM0020           92975.2           56
UMCP0040           88898.6          252
UGAT0011           87485.3            8
UNCS0057           85689.7           38
UWSU0011           84698.7            4
UCDV0032           81452.2           23
UCLA0062           81013.9            4
P22100000          78486.9          261
WYOM0161           78011.2           45
NRAL0032           77969.1         4422
UCHI0014           73723.9           82
