Accounts      Usage         Counts      
UCSU0115           21674.6          474
UCHI0018           17246.8          334
UCIT0011           16676.2         1544
URIC0009           11788.7          327
P48500047          11559.3           80
UCHI0014            9731.2         2633
P48500028           8020.0           75
P22100000           5378.0          220
NMMM0015            4591.6           37
NCIS0013            3573.3          112
UCSC0009            2295.2          698
P28100036           2227.8           60
UMIT0073            1101.3           28
P93300042           1086.4          488
NTDD0004            1010.9          162
SCSG0001             783.5          256
UCOR0097             700.7          126
UCLB0042             594.1           15
UBUB0017             582.8          100
UCSD0060             410.6           20
P93300606            361.5           49
UCUB0166             294.7           99
UERF0005             291.5          161
WYOM0231             290.9           75
UHOW0014             252.8           13
NAML0001             222.7           32
UWAS0171             204.1           16
WYOM0220             201.5            7
UUTA0018             184.7            7
UMCP0052             160.4            4
UMCP0037             137.5           17
NRAL0031             123.5          107
USTN0009             122.6           14
WYOM0172              71.0            7
SSSG0001              56.0           21
NVST0001              32.1            1
CESM0019              27.6            2
P28100045             24.1            4
UPUR0019              16.2            2
UJHB0028              15.8            2
NMMM0013              12.5           16
UWAS0161              10.3            2
UWKU0004               9.0            3
UCSU0085               7.6            4
UPIT0001               5.4           11
P54048000              4.0            1
NTDD0005               3.5            2
P93300065              3.4           43
P19010000              3.3            9
UNDM0007               2.4            5
UALB0053               1.5           48
NCGD0067               1.1            7
AACD0003               0.1            5
NMMM0035               0.1           10
