User-ids      Usage         Counts      
fredc           20892626.3          219
oppermann       18142960.1        38425
aherring        17418786.9          330
pramod          14581762.6         1818
hannay           7482649.0          475
akirby           7140688.6          374
jiangzhu         5189094.0          708
msitnov          4867000.9           10
leihuang         4150209.7          323
wenfut           3503963.1          241
ampsrt           3219421.3         8279
smitha           2594618.2        10812
fengzhu          2525918.7          384
yixia            2496494.5          229
dazlich          2439021.6           57
xiaodongc        2278349.4          170
xueliu           2207808.4           65
zarzycki         2128164.3         3235
yuhongye         1934855.5           98
nmaneenoi        1900020.6           56
chepurin         1830371.9           20
gunterl          1784412.5          210
liuh             1682380.0          102
espstoch         1626214.7         7399
trude            1625344.1          711
tilmes           1607250.1          333
dbailey          1502458.2          311
zhiyang          1339257.7           72
yfan             1311263.8           63
wliu             1303354.5          390
sunjian          1267014.4           85
walkerl          1186595.9          215
bukovsky         1134444.4          238
jsallen          1113426.0          313
gaubert          1080401.8          261
akhtert          1063086.2          126
cmarshall        1045885.5          158
mijeong           988898.5          113
huili7            947291.6           84
arezoo            946192.5          979
bramberg          936722.5          123
rory              925711.0         3281
pacosta           924162.0           88
linnia            868490.8         2748
gmarques          866568.1           85
yifanc17          841336.5          160
aleksu            789808.4         1460
yichengli         787049.2           91
hchang            756209.9          154
igrooms           728085.2          151
yttp              725013.4           24
phutton           712477.3          964
jnicklas          707817.9          266
srahimi           704231.6           82
amasruf           692017.5           31
junyu             679266.6          157
jingyiz           661692.4          225
rneale            651823.7          223
lgchen            644630.1          451
kristenk          636761.1          103
stepheba          625078.1           93
kgohil            604523.5          251
yafang            589461.0          151
samrabin          576318.6         1271
lawrence          573611.1           76
felfelan          551109.3          171
juliob            547708.9          162
alessand          544714.3         4111
nickp             539284.9          192
fischer           531011.0          806
behroozr          525410.1          100
patc              519786.7           42
oleson            507598.3          175
igomez            504240.1          127
xiaofu            503034.2          372
chihting          493464.1          613
youweima          491848.0           71
emeeker           484310.1          113
kboden            483800.7           77
vcooper           474653.2          964
rrchowdhury       464711.3           79
jzhan166          455544.0           87
chliu             454663.3           12
mre2126           435652.7          112
marcbecker        433607.3         1778
qmulhern          433549.3           14
yuhanw            399880.4           55
emmons            396796.1           20
leizhao           396566.1           51
glydia            395086.0           86
andreasc          374076.9           66
brendanc          368170.7           67
sbauer            366399.4           30
jiarongw          357706.4           91
pjchen            354171.8           36
bdobbins          346665.7           31
antliya           338884.3          898
yuanchen          335761.7          287
jinmuluo          321394.1          138
ewinter           319039.2          573
hanchensong       312129.7           82
hplin             307601.5          407
rberrios          306908.4            5
hxong             276211.1           56
slevis            268585.5         4134
chingchung        268268.8           27
qiuyan            267463.3           66
yuyao             267434.4          140
cmip7             260108.7          105
xinzhou           257239.3           66
zishunq           252560.6           12
galexand          249598.2          233
mkwitte           249205.7           16
tdeneau           242725.9          147
hawbecker         238215.4         1602
wchapman          237792.0          181
ssalesky          236314.2           17
lantao            234930.1          100
jshi              233827.1          122
demetra           233619.3           43
mozhgana          231426.9          616
jiamengl          229845.1          106
mawilson          229245.1         2356
wily              226820.8           53
hychen            224537.3           42
jvillamayor       219529.9           72
pnhadinata        219183.9           48
spk               212976.2          285
afeinberg         212398.3          130
zhufengf          212350.8           39
jayzhang          210735.4           25
jshin             207497.7           41
rgarcia           205675.6           81
jianglp           201895.8          556
sbrandt           199757.3            8
adwoa             193645.9          127
hirasawa          187763.8           54
jvilap            185375.5           95
joshport          183743.9           35
ivette            182857.2          697
ranfeng           181073.4           24
marat             180726.3           22
qhuang            174144.2          170
ldong             173731.8          286
kkchandr          170448.8           51
smeech            170309.7          385
dbr               163708.7           67
mizukami          163304.9          528
kkoepnick         159879.8           77
zhuming           158476.9         1368
jytang            156096.1          121
bbuchovecky       149299.4          397
shixiongh         147939.1           82
masih             146865.5          742
dyang             146111.8          118
yumingjin         145691.8          155
mlevy             140923.9          125
dleung            140865.0           49
shawnh            130059.0          573
rui               127291.6           36
richf             126560.6           31
jtwiles           126093.0          109
haodixu           125971.1          172
wh24f             125796.8           51
mingpo            124453.2          294
cherubin          121697.5          223
mkhondaker        119984.8          186
bwest             119828.0           54
houwenw           119335.4           35
simchany          118824.9          149
fazlul            116695.4          241
ledesma           114692.3           19
cdswk             113390.0           38
jamesking         112808.5           26
ezeller           111594.9           33
tcraig            111019.3        18954
lpwang7           110986.5           84
vtenorio          110726.0           38
junkyung          109943.2         1446
lgray             109851.3           13
cxfan             108164.2           31
joemci            107846.9           37
shuochen          105791.3           17
aroseman          105416.3           74
syha              104252.9        13174
cwhyte            103363.0           43
njadallah         102512.3          125
deppenme          102254.5           33
yangzer            98720.4           53
syback             98191.6           62
tvmora             98012.9           36
yuding             96623.3         1200
huanxinz           94906.6           32
olgaten            94707.9           55
hbrown             94702.4           57
sacks              93001.1         1445
lakhima            92754.7           39
fengc              92169.9           56
shuai              92044.7           74
swei               89050.5         5653
ashleyc            88916.2           20
kukulies           88077.7            2
kdo                88042.0         1019
chenxiao           87434.4           47
heplaas            85689.7           38
afernandez         84698.7            4
bduran             84086.4          116
aejiogu            84061.6          238
mstoelli           83291.9           36
qinyili            82986.8           98
zzwang             82354.7           28
qihuap             81616.2          167
sciola             81013.9            4
nlybarger          80392.2           39
ccliu              79209.3           54
weichenl           78139.7            9
nrobertson         77401.8           42
altuntas           76299.2          256
hhchou             76098.5           79
taosun             73276.2          287
nvlastos           71954.7           30
guenzkofer         71005.8           40
rvarney            70328.4           45
owhughes           69314.8           70
kalpesh            68947.8           13
bdilorenzo         67570.6         4151
alancelin          67091.0            9
ljones             64722.5           81
sbao               63471.4           48
erik               63144.5         2711
huanwang           63038.7         1275
knardi             60164.5           45
yuchilee           59920.7           34
jabrzenski         59569.8           73
jairovp            59091.0           10
sukim              58514.4          466
juanseba           57442.1           64
aaroj              56888.0          106
tking              56710.4           18
zihan              55892.0           55
arashee            55853.4           44
fangli             55414.5           29
yuanfeng           53915.8           74
mqin               51959.6           40
jkwon              51800.7          864
daabrand           51530.8           33
jaredlee           50665.7           10
arahman            50555.1            5
echladny           50535.7           47
yuanw              50451.4           30
cacraig            50293.7          362
ananyo             49678.4          211
sinas              49441.8           16
nystrom            49235.1            2
alphonso           49104.3           87
at554              48335.8           25
csgteam            48253.6          230
nafiba             48212.3           24
hsoeda             47667.9           16
taofeng            47278.9           40
jedwards           47070.9          388
liut               47062.9          169
matta              46820.3           25
fuchengy           46532.6           28
sshams             46072.5           61
gavinmad           46064.4           37
elenap             45653.3           23
jianguan           45285.0           98
yingxiao           44983.7           10
mrao               44960.0          105
tzaremba           44178.7           13
gkakoti            44158.4           16
aryalsau           43383.4           68
xlevine            41274.7          148
phamkh             41117.2           34
mkpistarini        41083.1          227
hubbard            40879.3           72
flaviosantos       40528.1           24
patton             38430.5           37
amuehr             37960.5            4
chuchun2           37816.7           85
dikpati            37403.8           34
hshin              37308.8           24
tferreira          37026.1            4
teng               36955.9           30
worapop            36788.3           49
xwzhang            36679.4          121
amirrezaei         35961.9           17
weirauch           33736.7           82
anazarova          33003.5           92
schwartz           32749.1            9
dgoldstein         32670.2           15
lilyw              31999.9           87
wdecredico         31917.6           30
fvitt              31881.6          308
dkpeng             31846.2           26
benkoz             31075.7          450
srees              31045.3           12
sjarhan            30661.0         1853
yeddebba           30196.9           39
hhou               29657.1           36
visaga             29310.4           68
aiyer              28589.6           35
ckruse             28202.7            5
hmao               28098.1           38
yingpan            27250.5            9
xhidalgo           27223.0           14
dlu                27107.9           70
jpr3               26378.5            7
geraint            26274.2          116
swensosc           25921.3           54
skeshri            25419.3           39
areynoso           25380.2           33
mlueken            25169.8         1143
lijiez             25094.9           15
duda               24552.4          126
jjacdan            24472.5           40
sdseidel           24261.1          267
nklimpel           23961.7           12
siyuzhao           23723.7           45
ankurk             23610.8           11
cobrien            23213.8           71
ebednarz           22812.1            4
gwarner            22617.4           17
mchang             22511.2          116
cmasiello          21606.4            9
haofu              21555.0           60
jonahshaw          21373.5           50
jkong              21285.0           34
ojagtap            21265.1           20
coas4              21238.6           30
bresch             21079.6           17
lipscomb           20470.2          288
lihuiji2           20460.9           11
maxphillips        20457.5           36
schwamb            20452.2           36
jkang              20324.8            4
cecilia            20314.1           36
haoluny            20269.8           13
rarmstrong         20194.1           71
vamoruso           19977.7           63
pinto              19898.3          204
kuanchihw          19897.2          255
domingom           19705.0           48
zhifengy           19646.9          140
knocasio           19620.1           16
islas              19129.0            9
chunyur            19102.4           56
rfalga             18967.6           82
xuguang            18900.2           31
yuhong             18718.8           63
jet                18607.3           92
jpeters            18497.1           10
avclarke           18209.8           31
msyrett            17751.5           24
