Date              #-Users       #-Proj  #-CPU-Users   #-CPU-Proj   #-CPU-Jobs    #-CPU-Hrs  #-GPU-Users   #-GPU-Proj   #-GPU-Jobs    #-GPU-Hrs
2025-11-01            256          171          242          168         7922    6899359.7           17           12          997       2195.4
2025-11-02            263          166          248          163        12011    7845553.9           16            9          351       1442.1
2025-11-03            363          221          343          215         9541    7168822.0           29           20          157       2054.6
2025-11-04             62           47           56           43         1766    1102712.0            7            7            8        356.6
2025-11-05            150          109          135          104         6020    2366331.0           17           12          354       1001.0
2025-11-06            331          192          299          184         3623    6935989.5           42           26          465       2602.9
2025-11-07            376          222          343          211         5575    7834439.1           40           28          414       2151.5
2025-11-08            274          179          254          173         9255    6871481.7           22           12          162       3407.9
2025-11-09            237          157          223          156         3308    7639611.1           17           11          115       4181.2
2025-11-10            363          225          333          216         5704    8197183.1           35           22          236       5175.9
2025-11-11            391          233          364          225         8530    7376843.9           34           22          219       6838.4
2025-11-12            390          225          361          213         8245    6161708.7           38           26          302       7129.6
2025-11-13            396          230          362          218        12482    5997901.6           40           25         1106       8186.8
2025-11-14            382          234          357          226         6835   10068505.7           31           23          374       5286.2
2025-11-15            259          173          243          164        10050    7538958.7           18           16          203       7382.1
2025-11-16            252          176          232          167         6341    6123479.5           22           19           92       3603.9
2025-11-17            328          210          304          200        10263    9316486.0           28           21          327       4074.6
2025-11-18            428          242          403          234         7954    7019337.8           29           20          260       5128.8
2025-11-19            378          222          353          216        10849    7035082.9           32           20          276       3908.4
2025-11-20            424          238          388          229         8192    8038028.5           52           23          185       4145.7
2025-11-21            374          229          351          220         8239    6686422.9           27           18          219       3639.9
2025-11-22            292          185          273          178        11097    5778990.3           23           17          127       5207.7
2025-11-23            278          187          256          177         6818    9784568.3           23           18          309       5126.6
2025-11-24            343          218          315          206        10972    7532064.7           32           24          170       6296.0
2025-11-25            380          230          356          217         8510    6335146.4           32           26          159       6093.4
2025-11-26            363          228          339          218        10126    6078550.6           29           22          165       4823.5
2025-11-27            293          198          271          187         9559   10005482.5           24           19          178       4360.6
2025-11-28            241          158          223          148         7853    7648655.6           21           16          194       3621.4
2025-11-29            238          159          225          153        13540    7731769.5           17           14          160       2320.4
2025-11-30            236          168          218          160        10536    7397666.1           21           16          311       2445.7
